Using report1.sqlite export for stats reports.
Exporting [/opt/nvidia/nsight-systems/2020.4.3/target-linux-x64/reports/gpukernsum.py report1.sqlite] to console... 
overall : 1.67 ms
Time(%),Total Time (ns),Instances,Average,Minimum,Maximum,Name
0.7,12911547,1100,11737.8,10784,19680,"wave_compute_65(WaveInputParams*, WaveModelParams*, WaveOutputParams*)"
0.7,12896697,1100,11724.3,10816,19840,"wave_compute_9(WaveInputParams*, WaveModelParams*, WaveOutputParams*)"
0.7,12882696,1100,11711.5,10848,19424,"wave_compute_53(WaveInputParams*, WaveModelParams*, WaveOutputParams*)"
0.7,12875548,1100,11705.0,10784,19456,"wave_compute_89(WaveInputParams*, WaveModelParams*, WaveOutputParams*)"
0.7,12856910,1100,11688.1,10847,19712,"wave_compute_29(WaveInputParams*, WaveModelParams*, WaveOutputParams*)"
0.7,12851220,1100,11682.9,10784,19552,"wave_compute_85(WaveInputParams*, WaveModelParams*, WaveOutputParams*)"
0.7,12847160,1100,11679.2,10720,19264,"wave_compute_82(WaveInputParams*, WaveModelParams*, WaveOutputParams*)"
0.7,12844983,1100,11677.3,10848,19456,"wave_compute_25(WaveInputParams*, WaveModelParams*, WaveOutputParams*)"
0.7,12840491,1100,11673.2,10784,19361,"wave_compute_77(WaveInputParams*, WaveModelParams*, WaveOutputParams*)"
0.7,12832142,1100,11665.6,10816,19712,"wave_compute_98(WaveInputParams*, WaveModelParams*, WaveOutputParams*)"
0.7,12824972,1100,11659.1,10720,19552,"wave_compute_74(WaveInputParams*, WaveModelParams*, WaveOutputParams*)"
0.7,12815854,1100,11650.8,10720,19392,"wave_compute_43(WaveInputParams*, WaveModelParams*, WaveOutputParams*)"
0.7,12814916,1100,11649.9,10784,19328,"wave_compute_69(WaveInputParams*, WaveModelParams*, WaveOutputParams*)"
0.7,12811173,1100,11646.5,10624,19456,"wave_compute_8(WaveInputParams*, WaveModelParams*, WaveOutputParams*)"
0.7,12805044,1100,11640.9,10752,19584,"wave_compute_97(WaveInputParams*, WaveModelParams*, WaveOutputParams*)"
0.7,12804798,1100,11640.7,10688,19360,"wave_compute_67(WaveInputParams*, WaveModelParams*, WaveOutputParams*)"
0.7,12799841,1100,11636.2,10688,19616,"wave_compute_62(WaveInputParams*, WaveModelParams*, WaveOutputParams*)"
0.7,12797469,1100,11634.1,10688,19297,"wave_compute_83(WaveInputParams*, WaveModelParams*, WaveOutputParams*)"
0.7,12796033,1100,11632.8,10784,19936,"wave_compute_30(WaveInputParams*, WaveModelParams*, WaveOutputParams*)"
0.7,12794385,1100,11631.3,10720,19264,"wave_compute_35(WaveInputParams*, WaveModelParams*, WaveOutputParams*)"
0.7,12792511,1100,11629.6,10752,19552,"wave_compute_27(WaveInputParams*, WaveModelParams*, WaveOutputParams*)"
0.7,12786181,1100,11623.8,10688,19329,"wave_compute_91(WaveInputParams*, WaveModelParams*, WaveOutputParams*)"
0.7,12785846,1100,11623.5,10688,19264,"wave_compute_56(WaveInputParams*, WaveModelParams*, WaveOutputParams*)"
0.7,12785587,1100,11623.3,10656,19424,"wave_compute_55(WaveInputParams*, WaveModelParams*, WaveOutputParams*)"
0.7,12781142,1100,11619.2,10688,19392,"wave_compute_94(WaveInputParams*, WaveModelParams*, WaveOutputParams*)"
0.7,12780118,1100,11618.3,10655,19392,"wave_compute_57(WaveInputParams*, WaveModelParams*, WaveOutputParams*)"
0.7,12774812,1100,11613.5,10752,19457,"wave_compute_28(WaveInputParams*, WaveModelParams*, WaveOutputParams*)"
0.7,12767361,1100,11606.7,10752,19296,"wave_compute_66(WaveInputParams*, WaveModelParams*, WaveOutputParams*)"
0.7,12765400,1100,11604.9,10656,19456,"wave_compute_51(WaveInputParams*, WaveModelParams*, WaveOutputParams*)"
0.7,12759887,1100,11599.9,10656,19328,"wave_compute_52(WaveInputParams*, WaveModelParams*, WaveOutputParams*)"
0.7,12759671,1100,11599.7,10752,19552,"wave_compute_71(WaveInputParams*, WaveModelParams*, WaveOutputParams*)"
0.7,12747446,1100,11588.6,10720,19232,"wave_compute_11(WaveInputParams*, WaveModelParams*, WaveOutputParams*)"
0.7,12746168,1100,11587.4,10688,19392,"wave_compute_76(WaveInputParams*, WaveModelParams*, WaveOutputParams*)"
0.7,12740431,1100,11582.2,10688,19744,"wave_compute_38(WaveInputParams*, WaveModelParams*, WaveOutputParams*)"
0.7,12738004,1100,11580.0,10593,20000,"wave_compute_14(WaveInputParams*, WaveModelParams*, WaveOutputParams*)"
0.7,12737109,1100,11579.2,10720,19232,"wave_compute_59(WaveInputParams*, WaveModelParams*, WaveOutputParams*)"
0.7,12734488,1100,11576.8,10656,19328,"wave_compute_80(WaveInputParams*, WaveModelParams*, WaveOutputParams*)"
0.7,12733819,1100,11576.2,10624,19424,"wave_compute_40(WaveInputParams*, WaveModelParams*, WaveOutputParams*)"
0.7,12733272,1100,11575.7,10688,19488,"wave_compute_47(WaveInputParams*, WaveModelParams*, WaveOutputParams*)"
0.7,12732208,1100,11574.7,10721,19264,"wave_compute_73(WaveInputParams*, WaveModelParams*, WaveOutputParams*)"
0.7,12731276,1100,11573.9,10688,19264,"wave_compute_48(WaveInputParams*, WaveModelParams*, WaveOutputParams*)"
