Using report2.sqlite export for stats reports.
Exporting [/opt/nvidia/nsight-systems/2020.4.3/target-linux-x64/reports/gpukernsum.py report2.sqlite] to console... 

Time(%),Total Time (ns),Instances,Average,Minimum,Maximum,Name
0.9,39900772,1100,36273.4,35264,41792,"wave_compute_33(WaveInputParams*, WaveModelParams*, WaveOutputParams*)"
0.9,39855318,1100,36232.1,35136,45793,"wave_compute_46(WaveInputParams*, WaveModelParams*, WaveOutputParams*)"
0.9,39825861,1100,36205.3,34945,46400,"wave_compute_58(WaveInputParams*, WaveModelParams*, WaveOutputParams*)"
0.9,39784934,1100,36168.1,35072,45952,"wave_compute_61(WaveInputParams*, WaveModelParams*, WaveOutputParams*)"
0.9,39784684,1100,36167.9,34944,44768,"wave_compute_42(WaveInputParams*, WaveModelParams*, WaveOutputParams*)"
0.9,39770624,1100,36155.1,35040,41920,"wave_compute_55(WaveInputParams*, WaveModelParams*, WaveOutputParams*)"
0.9,39765138,1100,36150.1,35040,43809,"wave_compute_57(WaveInputParams*, WaveModelParams*, WaveOutputParams*)"
0.9,39721846,1100,36110.8,35169,43904,"wave_compute_99(WaveInputParams*, WaveModelParams*, WaveOutputParams*)"
0.9,39720505,1100,36109.6,35008,41825,"wave_compute_88(WaveInputParams*, WaveModelParams*, WaveOutputParams*)"
0.9,39720470,1100,36109.5,35136,42304,"wave_compute_30(WaveInputParams*, WaveModelParams*, WaveOutputParams*)"
0.9,39709370,1100,36099.4,34912,44256,"wave_compute_47(WaveInputParams*, WaveModelParams*, WaveOutputParams*)"
0.9,39706434,1100,36096.8,35041,41856,"wave_compute_91(WaveInputParams*, WaveModelParams*, WaveOutputParams*)"
0.9,39705329,1100,36095.8,35136,46401,"wave_compute_79(WaveInputParams*, WaveModelParams*, WaveOutputParams*)"
0.9,39704337,1100,36094.9,35040,46784,"wave_compute_67(WaveInputParams*, WaveModelParams*, WaveOutputParams*)"
0.9,39696176,1100,36087.4,35040,44544,"wave_compute_60(WaveInputParams*, WaveModelParams*, WaveOutputParams*)"
0.9,39690848,1100,36082.6,35008,44033,"wave_compute_54(WaveInputParams*, WaveModelParams*, WaveOutputParams*)"
0.9,39686150,1100,36078.3,34784,41601,"wave_compute_40(WaveInputParams*, WaveModelParams*, WaveOutputParams*)"
0.9,39681933,1100,36074.5,34976,41696,"wave_compute_90(WaveInputParams*, WaveModelParams*, WaveOutputParams*)"
0.9,39677320,1100,36070.3,34721,42176,"wave_compute_52(WaveInputParams*, WaveModelParams*, WaveOutputParams*)"
0.9,39672804,1100,36066.2,35008,41825,"wave_compute_49(WaveInputParams*, WaveModelParams*, WaveOutputParams*)"
0.9,39665924,1100,36059.9,35104,47873,"wave_compute_92(WaveInputParams*, WaveModelParams*, WaveOutputParams*)"
0.9,39662289,1100,36056.6,34975,44704,"wave_compute_66(WaveInputParams*, WaveModelParams*, WaveOutputParams*)"
0.9,39661460,1100,36055.9,35104,44992,"wave_compute_74(WaveInputParams*, WaveModelParams*, WaveOutputParams*)"
0.9,39658628,1100,36053.3,34976,46912,"wave_compute_43(WaveInputParams*, WaveModelParams*, WaveOutputParams*)"
0.9,39657801,1100,36052.5,35008,47008,"wave_compute_63(WaveInputParams*, WaveModelParams*, WaveOutputParams*)"
0.9,39653870,1100,36049.0,35008,41408,"wave_compute_27(WaveInputParams*, WaveModelParams*, WaveOutputParams*)"
0.9,39650044,1100,36045.5,34848,43391,"wave_compute_95(WaveInputParams*, WaveModelParams*, WaveOutputParams*)"
0.9,39648391,1100,36044.0,35040,41504,"wave_compute_82(WaveInputParams*, WaveModelParams*, WaveOutputParams*)"
0.9,39632111,1100,36029.2,35008,44160,"wave_compute_65(WaveInputParams*, WaveModelParams*, WaveOutputParams*)"
0.9,39626749,1100,36024.3,35009,43840,"wave_compute_37(WaveInputParams*, WaveModelParams*, WaveOutputParams*)"
0.9,39626434,1100,36024.0,34944,41569,"wave_compute_70(WaveInputParams*, WaveModelParams*, WaveOutputParams*)"
0.9,39626146,1100,36023.8,35008,42560,"wave_compute_81(WaveInputParams*, WaveModelParams*, WaveOutputParams*)"
0.9,39625848,1100,36023.5,34912,44768,"wave_compute_38(WaveInputParams*, WaveModelParams*, WaveOutputParams*)"
0.9,39607858,1100,36007.1,34944,46016,"wave_compute_77(WaveInputParams*, WaveModelParams*, WaveOutputParams*)"
0.9,39603556,1100,36003.2,34880,44960,"wave_compute_85(WaveInputParams*, WaveModelParams*, WaveOutputParams*)"
0.9,39601828,1100,36001.7,34976,46273,"wave_compute_78(WaveInputParams*, WaveModelParams*, WaveOutputParams*)"
0.9,39596655,1100,35997.0,34976,45248,"wave_compute_45(WaveInputParams*, WaveModelParams*, WaveOutputParams*)"
0.9,39593542,1100,35994.1,35072,44544,"wave_compute_64(WaveInputParams*, WaveModelParams*, WaveOutputParams*)"
0.9,39590412,1100,35991.3,34976,44833,"wave_compute_53(WaveInputParams*, WaveModelParams*, WaveOutputParams*)"
0.9,39588098,1100,35989.2,35007,42016,"wave_compute_29(WaveInputParams*, WaveModelParams*, WaveOutputParams*)"
0.9,39587412,1100,35988.6,34945,41440,"wave_compute_71(WaveInputParams*, WaveModelParams*, WaveOutputParams*)"
0.9,39579893,1100,35981.7,34784,41729,"wave_compute_31(WaveInputParams*, WaveModelParams*, WaveOutputParams*)"
0.9,39577609,1100,35979.6,34944,48545,"wave_compute_44(WaveInputParams*, WaveModelParams*, WaveOutputParams*)"
0.9,39576499,1100,35978.6,34977,45984,"wave_compute_94(WaveInputParams*, WaveModelParams*, WaveOutputParams*)"
0.9,39573841,1100,35976.2,34784,44096,"wave_compute_48(WaveInputParams*, WaveModelParams*, WaveOutputParams*)"
0.9,39573139,1100,35975.6,35008,43808,"wave_compute_83(WaveInputParams*, WaveModelParams*, WaveOutputParams*)"
0.9,39571203,1100,35973.8,35008,44192,"wave_compute_86(WaveInputParams*, WaveModelParams*, WaveOutputParams*)"
0.9,39567262,1100,35970.2,35040,44384,"wave_compute_89(WaveInputParams*, WaveModelParams*, WaveOutputParams*)"
0.9,39564146,1100,35967.4,34977,41600,"wave_compute_68(WaveInputParams*, WaveModelParams*, WaveOutputParams*)"
0.9,39558749,1100,35962.5,35008,44128,"wave_compute_80(WaveInputParams*, WaveModelParams*, WaveOutputParams*)"
0.9,39558347,1100,35962.1,34913,47168,"wave_compute_93(WaveInputParams*, WaveModelParams*, WaveOutputParams*)"
0.9,39542090,1100,35947.4,34912,45792,"wave_compute_62(WaveInputParams*, WaveModelParams*, WaveOutputParams*)"
0.9,39538431,1100,35944.0,34944,45952,"wave_compute_97(WaveInputParams*, WaveModelParams*, WaveOutputParams*)"
0.9,39533169,1100,35939.2,34976,41376,"wave_compute_26(WaveInputParams*, WaveModelParams*, WaveOutputParams*)"
0.9,39532188,1100,35938.4,34944,49376,"wave_compute_56(WaveInputParams*, WaveModelParams*, WaveOutputParams*)"
0.9,39531453,1100,35937.7,34912,41920,"wave_compute_72(WaveInputParams*, WaveModelParams*, WaveOutputParams*)"
0.9,39531036,1100,35937.3,35040,41408,"wave_compute_50(WaveInputParams*, WaveModelParams*, WaveOutputParams*)"
0.9,39526942,1100,35933.6,34944,41664,"wave_compute_39(WaveInputParams*, WaveModelParams*, WaveOutputParams*)"
0.9,39523859,1100,35930.8,35008,44193,"wave_compute_87(WaveInputParams*, WaveModelParams*, WaveOutputParams*)"
0.9,39522421,1100,35929.5,34976,44256,"wave_compute_69(WaveInputParams*, WaveModelParams*, WaveOutputParams*)"
0.9,39520986,1100,35928.2,34912,44065,"wave_compute_75(WaveInputParams*, WaveModelParams*, WaveOutputParams*)"
0.9,39511660,1100,35919.7,34880,47808,"wave_compute_35(WaveInputParams*, WaveModelParams*, WaveOutputParams*)"
0.9,39508488,1100,35916.8,34816,42240,"wave_compute_84(WaveInputParams*, WaveModelParams*, WaveOutputParams*)"
0.9,39505090,1100,35913.7,35072,42400,"wave_compute_34(WaveInputParams*, WaveModelParams*, WaveOutputParams*)"
0.9,39498541,1100,35907.8,34944,40896,"wave_compute_24(WaveInputParams*, WaveModelParams*, WaveOutputParams*)"
0.9,39497396,1100,35906.7,34912,43360,"wave_compute_96(WaveInputParams*, WaveModelParams*, WaveOutputParams*)"
0.9,39458126,1100,35871.0,34785,44928,"wave_compute_73(WaveInputParams*, WaveModelParams*, WaveOutputParams*)"
0.9,39445342,1100,35859.4,34977,41408,"wave_compute_25(WaveInputParams*, WaveModelParams*, WaveOutputParams*)"
0.9,39431104,1100,35846.5,34912,41600,"wave_compute_22(WaveInputParams*, WaveModelParams*, WaveOutputParams*)"
0.9,39423198,1100,35839.3,34849,41248,"wave_compute_51(WaveInputParams*, WaveModelParams*, WaveOutputParams*)"
