Using report4.sqlite export for stats reports.
Exporting [/opt/nvidia/nsight-systems/2020.4.3/target-linux-x64/reports/gpukernsum.py report4.sqlite] to console... 
overall : 1.27ms
Time(%),Total Time (ns),Instances,Average,Minimum,Maximum,Name
1.0,15185003,1100,13804.5,12864,22112,"wave100(WaveInputParams*, WaveModelParams*, WaveOutputParams*)"
1.0,14380911,1100,13073.6,11840,21312,"wave2(WaveInputParams*, WaveModelParams*, WaveOutputParams*)"
0.9,14276026,1100,12978.2,11872,22049,"wave99(WaveInputParams*, WaveModelParams*, WaveOutputParams*)"
0.9,14240304,1100,12945.7,11935,22081,"wave40(WaveInputParams*, WaveModelParams*, WaveOutputParams*)"
0.9,14238194,1100,12943.8,12000,21440,"wave101(WaveInputParams*, WaveModelParams*, WaveOutputParams*)"
0.9,14206832,1100,12915.3,11904,22272,"wave76(WaveInputParams*, WaveModelParams*, WaveOutputParams*)"
0.9,14168930,1100,12880.8,12000,21984,"wave49(WaveInputParams*, WaveModelParams*, WaveOutputParams*)"
0.9,14161428,1100,12874.0,11904,22016,"wave35(WaveInputParams*, WaveModelParams*, WaveOutputParams*)"
0.9,14142915,1100,12857.2,11808,22080,"wave30(WaveInputParams*, WaveModelParams*, WaveOutputParams*)"
0.9,14117529,1100,12834.1,11840,22080,"wave44(WaveInputParams*, WaveModelParams*, WaveOutputParams*)"
0.9,14117465,1100,12834.1,11840,21824,"wave38(WaveInputParams*, WaveModelParams*, WaveOutputParams*)"
0.9,14116694,1100,12833.4,11936,21920,"wave88(WaveInputParams*, WaveModelParams*, WaveOutputParams*)"
0.9,14116190,1100,12832.9,11872,21792,"wave93(WaveInputParams*, WaveModelParams*, WaveOutputParams*)"
0.9,14114627,1100,12831.5,11840,22272,"wave61(WaveInputParams*, WaveModelParams*, WaveOutputParams*)"
0.9,14106359,1100,12824.0,11648,22145,"wave97(WaveInputParams*, WaveModelParams*, WaveOutputParams*)"
0.9,14098816,1100,12817.1,11840,22592,"wave5(WaveInputParams*, WaveModelParams*, WaveOutputParams*)"
0.9,14097174,1100,12815.6,11840,22016,"wave86(WaveInputParams*, WaveModelParams*, WaveOutputParams*)"
0.9,14091358,1100,12810.3,11872,21856,"wave23(WaveInputParams*, WaveModelParams*, WaveOutputParams*)"
0.9,14087606,1100,12806.9,11680,22144,"wave55(WaveInputParams*, WaveModelParams*, WaveOutputParams*)"
0.9,14086425,1100,12805.8,11712,21952,"wave85(WaveInputParams*, WaveModelParams*, WaveOutputParams*)"
0.9,14086103,1100,12805.5,11808,21921,"wave33(WaveInputParams*, WaveModelParams*, WaveOutputParams*)"
0.9,14085810,1100,12805.3,11648,20800,"wave102(WaveInputParams*, WaveModelParams*, WaveOutputParams*)"
0.9,14079044,1100,12799.1,11777,21793,"wave42(WaveInputParams*, WaveModelParams*, WaveOutputParams*)"
0.9,14078200,1100,12798.4,11744,21984,"wave73(WaveInputParams*, WaveModelParams*, WaveOutputParams*)"
0.9,14068439,1100,12789.5,11712,22079,"wave83(WaveInputParams*, WaveModelParams*, WaveOutputParams*)"
0.9,14065973,1100,12787.2,11840,22016,"wave81(WaveInputParams*, WaveModelParams*, WaveOutputParams*)"
0.9,14059888,1100,12781.7,11776,21823,"wave82(WaveInputParams*, WaveModelParams*, WaveOutputParams*)"
0.9,14055647,1100,12777.9,11744,22048,"wave69(WaveInputParams*, WaveModelParams*, WaveOutputParams*)"
0.9,14050734,1100,12773.4,11712,21856,"wave12(WaveInputParams*, WaveModelParams*, WaveOutputParams*)"
0.9,14048731,1100,12771.6,11680,21696,"wave77(WaveInputParams*, WaveModelParams*, WaveOutputParams*)"
0.9,14045125,1100,12768.3,11712,22240,"wave71(WaveInputParams*, WaveModelParams*, WaveOutputParams*)"
0.9,14044051,1100,12767.3,11808,21920,"wave95(WaveInputParams*, WaveModelParams*, WaveOutputParams*)"
0.9,14040628,1100,12764.2,11712,21824,"wave29(WaveInputParams*, WaveModelParams*, WaveOutputParams*)"
0.9,14036551,1100,12760.5,11745,21696,"wave94(WaveInputParams*, WaveModelParams*, WaveOutputParams*)"
0.9,14035288,1100,12759.4,11648,21696,"wave63(WaveInputParams*, WaveModelParams*, WaveOutputParams*)"
0.9,14035252,1100,12759.3,11680,22016,"wave54(WaveInputParams*, WaveModelParams*, WaveOutputParams*)"
0.9,14035207,1100,12759.3,11776,21985,"wave16(WaveInputParams*, WaveModelParams*, WaveOutputParams*)"
0.9,14032328,1100,12756.7,11744,21920,"wave89(WaveInputParams*, WaveModelParams*, WaveOutputParams*)"
0.9,14025565,1100,12750.5,11712,21920,"wave14(WaveInputParams*, WaveModelParams*, WaveOutputParams*)"
0.9,14025248,1100,12750.2,11744,22048,"wave21(WaveInputParams*, WaveModelParams*, WaveOutputParams*)"
