Using report5.sqlite export for stats reports.
Exporting [/opt/nvidia/nsight-systems/2020.4.3/target-linux-x64/reports/gpukernsum.py report5.sqlite] to console... 
overall : 1.25ms
Time(%),Total Time (ns),Instances,Average,Minimum,Maximum,Name
1.0,14724831,1100,13386.2,12416,21951,"wave100(WaveInputParams*, WaveModelParams*, WaveOutputParams*)"
1.0,14441726,1100,13128.8,12192,21472,"wave101(WaveInputParams*, WaveModelParams*, WaveOutputParams*)"
1.0,14160435,1100,12873.1,11840,20640,"wave102(WaveInputParams*, WaveModelParams*, WaveOutputParams*)"
0.9,13849290,1100,12590.3,11552,21505,"wave19(WaveInputParams*, WaveModelParams*, WaveOutputParams*)"
0.9,13817877,1100,12561.7,11456,21312,"wave29(WaveInputParams*, WaveModelParams*, WaveOutputParams*)"
0.9,13816452,1100,12560.4,11584,21409,"wave49(WaveInputParams*, WaveModelParams*, WaveOutputParams*)"
0.9,13789960,1100,12536.3,11552,21632,"wave44(WaveInputParams*, WaveModelParams*, WaveOutputParams*)"
0.9,13781325,1100,12528.5,11392,20289,"wave2(WaveInputParams*, WaveModelParams*, WaveOutputParams*)"
0.9,13755556,1100,12505.1,11296,23808,"wave0(WaveInputParams*, WaveModelParams*, WaveOutputParams*)"
0.9,13726849,1100,12479.0,11392,21504,"wave20(WaveInputParams*, WaveModelParams*, WaveOutputParams*)"
0.9,13722142,1100,12474.7,11457,21824,"wave63(WaveInputParams*, WaveModelParams*, WaveOutputParams*)"
0.9,13712607,1100,12466.0,11520,21697,"wave13(WaveInputParams*, WaveModelParams*, WaveOutputParams*)"
0.9,13711941,1100,12465.4,11457,21440,"wave72(WaveInputParams*, WaveModelParams*, WaveOutputParams*)"
0.9,13711330,1100,12464.8,11424,21441,"wave65(WaveInputParams*, WaveModelParams*, WaveOutputParams*)"
0.9,13705019,1100,12459.1,11489,21440,"wave55(WaveInputParams*, WaveModelParams*, WaveOutputParams*)"
0.9,13692041,1100,12447.3,11488,21536,"wave54(WaveInputParams*, WaveModelParams*, WaveOutputParams*)"
0.9,13685946,1100,12441.8,11392,30272,"wave93(WaveInputParams*, WaveModelParams*, WaveOutputParams*)"
0.9,13680957,1100,12437.2,11392,21440,"wave90(WaveInputParams*, WaveModelParams*, WaveOutputParams*)"
0.9,13676623,1100,12433.3,11488,21664,"wave42(WaveInputParams*, WaveModelParams*, WaveOutputParams*)"
0.9,13675315,1100,12432.1,11488,21216,"wave71(WaveInputParams*, WaveModelParams*, WaveOutputParams*)"
0.9,13670039,1100,12427.3,11456,21377,"wave27(WaveInputParams*, WaveModelParams*, WaveOutputParams*)"
0.9,13669742,1100,12427.0,11424,21472,"wave81(WaveInputParams*, WaveModelParams*, WaveOutputParams*)"
0.9,13658647,1100,12417.0,11424,21281,"wave94(WaveInputParams*, WaveModelParams*, WaveOutputParams*)"
0.9,13656735,1100,12415.2,11488,21536,"wave18(WaveInputParams*, WaveModelParams*, WaveOutputParams*)"
0.9,13655001,1100,12413.6,11392,21344,"wave92(WaveInputParams*, WaveModelParams*, WaveOutputParams*)"
0.9,13653325,1100,12412.1,11551,21409,"wave43(WaveInputParams*, WaveModelParams*, WaveOutputParams*)"
0.9,13650316,1100,12409.4,11424,21280,"wave76(WaveInputParams*, WaveModelParams*, WaveOutputParams*)"
0.9,13644750,1100,12404.3,11456,21664,"wave40(WaveInputParams*, WaveModelParams*, WaveOutputParams*)"
0.9,13643143,1100,12402.9,11455,21568,"wave57(WaveInputParams*, WaveModelParams*, WaveOutputParams*)"
0.9,13641284,1100,12401.2,11392,21376,"wave11(WaveInputParams*, WaveModelParams*, WaveOutputParams*)"
0.9,13635737,1100,12396.1,11392,21152,"wave25(WaveInputParams*, WaveModelParams*, WaveOutputParams*)"
0.9,13631873,1100,12392.6,11360,21601,"wave62(WaveInputParams*, WaveModelParams*, WaveOutputParams*)"
0.9,13627055,1100,12388.2,11392,21089,"wave79(WaveInputParams*, WaveModelParams*, WaveOutputParams*)"
0.9,13626257,1100,12387.5,11360,21312,"wave73(WaveInputParams*, WaveModelParams*, WaveOutputParams*)"
0.9,13616126,1100,12378.3,11360,21280,"wave89(WaveInputParams*, WaveModelParams*, WaveOutputParams*)"
