Using report3.sqlite export for stats reports.
Exporting [/opt/nvidia/nsight-systems/2020.4.3/target-linux-x64/reports/gpukernsum.py report3.sqlite] to console... 
overall: 1.56ms
Time(%),Total Time (ns),Instances,Average,Minimum,Maximum,Name
0.7,13094664,1100,11904.2,11136,19456,"wave_compute_100(WaveInputParams*, WaveModelParams*, WaveOutputParams*)"
0.7,12541837,1100,11401.7,10592,18368,"wave_compute_101(WaveInputParams*, WaveModelParams*, WaveOutputParams*)"
0.7,12460924,1100,11328.1,10496,19424,"wave_compute_14(WaveInputParams*, WaveModelParams*, WaveOutputParams*)"
0.7,12440901,1100,11309.9,10528,19008,"wave_compute_39(WaveInputParams*, WaveModelParams*, WaveOutputParams*)"
0.7,12416309,1100,11287.6,10400,19201,"wave_compute_61(WaveInputParams*, WaveModelParams*, WaveOutputParams*)"
0.7,12361583,1100,11237.8,10112,18176,"wave_compute_2(WaveInputParams*, WaveModelParams*, WaveOutputParams*)"
0.7,12360996,1100,11237.3,10400,19168,"wave_compute_90(WaveInputParams*, WaveModelParams*, WaveOutputParams*)"
0.6,12343109,1100,11221.0,10401,19072,"wave_compute_9(WaveInputParams*, WaveModelParams*, WaveOutputParams*)"
0.6,12339649,1100,11217.9,10400,19104,"wave_compute_59(WaveInputParams*, WaveModelParams*, WaveOutputParams*)"
0.6,12330906,1100,11209.9,10368,19136,"wave_compute_43(WaveInputParams*, WaveModelParams*, WaveOutputParams*)"
0.6,12326912,1100,11206.3,10400,19233,"wave_compute_55(WaveInputParams*, WaveModelParams*, WaveOutputParams*)"
0.6,12322282,1100,11202.1,10337,18848,"wave_compute_73(WaveInputParams*, WaveModelParams*, WaveOutputParams*)"
0.6,12318374,1100,11198.5,10336,18880,"wave_compute_96(WaveInputParams*, WaveModelParams*, WaveOutputParams*)"
0.6,12313745,1100,11194.3,10368,19040,"wave_compute_91(WaveInputParams*, WaveModelParams*, WaveOutputParams*)"
