Device Number: 0
  Device name: NVIDIA A100-PCIE-40GB
  Memory Clock Rate (KHz): 1215000
  Memory Bus Width (bits): 5120
  Peak Memory Bandwidth (GB/s): 1555.200000

Device Number: 1
  Device name: NVIDIA TITAN RTX
  Memory Clock Rate (KHz): 7001000
  Memory Bus Width (bits): 384
  Peak Memory Bandwidth (GB/s): 672.096000

Iteration time 15.494912 ms
Iteration time 7.852512 ms
Iteration time 7.010656 ms
Iteration time 5.999456 ms
Iteration time 5.988256 ms
Iteration time 6.010848 ms
Iteration time 5.944512 ms
Iteration time 5.915936 ms
Iteration time 6.091232 ms
Iteration time 5.892608 ms
Iteration time 5.972832 ms
Iteration time 6.241984 ms
Iteration time 5.895680 ms
Iteration time 5.841312 ms
Iteration time 6.114848 ms
Iteration time 6.038016 ms
Iteration time 6.186336 ms
Iteration time 6.245376 ms
Iteration time 6.101888 ms
Iteration time 6.105344 ms
Iteration time 6.044448 ms
Iteration time 6.024480 ms
Iteration time 6.056512 ms
Iteration time 5.932960 ms
Iteration time 5.946016 ms
Iteration time 5.984832 ms
Iteration time 6.029120 ms
Iteration time 5.969088 ms
Iteration time 6.148128 ms
Iteration time 6.079680 ms
Iteration time 5.870368 ms
Iteration time 6.056096 ms
Iteration time 5.930944 ms
Iteration time 6.128992 ms
Iteration time 6.151264 ms
Iteration time 5.978944 ms
Iteration time 6.038112 ms
Iteration time 6.170048 ms
Iteration time 6.072480 ms
Iteration time 6.025568 ms
Iteration time 5.871232 ms
Iteration time 5.918112 ms
Iteration time 5.946560 ms
Iteration time 5.890624 ms
Iteration time 6.043296 ms
Iteration time 5.996640 ms
Iteration time 5.943680 ms
Iteration time 5.972544 ms
Iteration time 5.952832 ms
Iteration time 5.951424 ms
Iteration time 6.001536 ms
Iteration time 5.959872 ms
Iteration time 6.024576 ms
Iteration time 6.122336 ms
Iteration time 6.082752 ms
Iteration time 6.061568 ms
Iteration time 5.996256 ms
Iteration time 5.910016 ms
Iteration time 5.911840 ms
Iteration time 5.995200 ms
Iteration time 5.937024 ms
Iteration time 5.985664 ms
Iteration time 6.253504 ms
Iteration time 6.416512 ms
Iteration time 6.066720 ms
Iteration time 6.046176 ms
Iteration time 6.103360 ms
Iteration time 6.071520 ms
Iteration time 5.991360 ms
Iteration time 6.063872 ms
Iteration time 6.075552 ms
Iteration time 6.017120 ms
