Using report2.sqlite export for stats reports.
Exporting [/opt/nvidia/nsight-systems/2020.4.3/target-linux-x64/reports/gpukernsum.py report2.sqlite] to console... 
overall : 2.02 ms

Time(%),Total Time (ns),Instances,Average,Minimum,Maximum,Name
1.0,23713908,1100,21558.1,20128,35904,"wave5(WaveInputParams*, WaveModelParams*, WaveOutputParams*)"
1.0,23104954,1100,21004.5,19776,33024,"wave100(WaveInputParams*, WaveModelParams*, WaveOutputParams*)"
1.0,23043575,1100,20948.7,18944,36064,"wave6(WaveInputParams*, WaveModelParams*, WaveOutputParams*)"
1.0,21943640,1100,19948.8,18720,31649,"wave24(WaveInputParams*, WaveModelParams*, WaveOutputParams*)"
1.0,21923795,1100,19930.7,18528,31552,"wave65(WaveInputParams*, WaveModelParams*, WaveOutputParams*)"
0.9,21900993,1100,19910.0,18560,31680,"wave89(WaveInputParams*, WaveModelParams*, WaveOutputParams*)"
0.9,21852970,1100,19866.3,18624,31712,"wave44(WaveInputParams*, WaveModelParams*, WaveOutputParams*)"
0.9,21843288,1100,19857.5,18529,31521,"wave74(WaveInputParams*, WaveModelParams*, WaveOutputParams*)"
0.9,21833958,1100,19849.1,18624,31808,"wave64(WaveInputParams*, WaveModelParams*, WaveOutputParams*)"
0.9,21811552,1100,19828.7,18656,31359,"wave77(WaveInputParams*, WaveModelParams*, WaveOutputParams*)"
0.9,21799093,1100,19817.4,18560,31776,"wave73(WaveInputParams*, WaveModelParams*, WaveOutputParams*)"
0.9,21793139,1100,19811.9,18304,36513,"wave7(WaveInputParams*, WaveModelParams*, WaveOutputParams*)"
0.9,21782918,1100,19802.7,18560,31744,"wave59(WaveInputParams*, WaveModelParams*, WaveOutputParams*)"
0.9,21740719,1100,19764.3,18400,31488,"wave69(WaveInputParams*, WaveModelParams*, WaveOutputParams*)"
0.9,21721319,1100,19746.7,18528,31552,"wave57(WaveInputParams*, WaveModelParams*, WaveOutputParams*)"
0.9,21715047,1100,19741.0,18496,35200,"wave90(WaveInputParams*, WaveModelParams*, WaveOutputParams*)"
0.9,21699517,1100,19726.8,18432,31520,"wave62(WaveInputParams*, WaveModelParams*, WaveOutputParams*)"
0.9,21693301,1100,19721.2,18496,31680,"wave75(WaveInputParams*, WaveModelParams*, WaveOutputParams*)"
0.9,21685727,1100,19714.3,18464,31808,"wave99(WaveInputParams*, WaveModelParams*, WaveOutputParams*)"
0.9,21668019,1100,19698.2,18368,30592,"wave101(WaveInputParams*, WaveModelParams*, WaveOutputParams*)"
0.9,21650200,1100,19682.0,18496,31648,"wave17(WaveInputParams*, WaveModelParams*, WaveOutputParams*)"
0.9,21643981,1100,19676.3,18464,31520,"wave91(WaveInputParams*, WaveModelParams*, WaveOutputParams*)"
0.9,21643589,1100,19676.0,18400,31488,"wave86(WaveInputParams*, WaveModelParams*, WaveOutputParams*)"
0.9,21638028,1100,19670.9,18369,31585,"wave94(WaveInputParams*, WaveModelParams*, WaveOutputParams*)"
0.9,21636486,1100,19669.5,18335,31136,"wave78(WaveInputParams*, WaveModelParams*, WaveOutputParams*)"
0.9,21636183,1100,19669.3,18240,36097,"wave8(WaveInputParams*, WaveModelParams*, WaveOutputParams*)"
0.9,21634552,1100,19667.8,18464,31328,"wave53(WaveInputParams*, WaveModelParams*, WaveOutputParams*)"
0.9,21616048,1100,19651.0,18367,31520,"wave58(WaveInputParams*, WaveModelParams*, WaveOutputParams*)"
0.9,21600806,1100,19637.1,18335,31296,"wave28(WaveInputParams*, WaveModelParams*, WaveOutputParams*)"
0.9,21573109,1100,19611.9,18528,31360,"wave52(WaveInputParams*, WaveModelParams*, WaveOutputParams*)"
0.9,21566060,1100,19605.5,18304,31136,"wave30(WaveInputParams*, WaveModelParams*, WaveOutputParams*)"
0.9,21557632,1100,19597.8,18336,31361,"wave76(WaveInputParams*, WaveModelParams*, WaveOutputParams*)"
0.9,21557108,1100,19597.4,18177,32160,"wave42(WaveInputParams*, WaveModelParams*, WaveOutputParams*)"
0.9,21551901,1100,19592.6,18336,31168,"wave60(WaveInputParams*, WaveModelParams*, WaveOutputParams*)"
