Using report1.sqlite export for stats reports.
Exporting [/opt/nvidia/nsight-systems/2020.4.3/target-linux-x64/reports/gpukernsum.py report1.sqlite] to console... 

Time(%),Total Time (ns),Instances,Average,Minimum,Maximum,Name
0.9,22968458,1100,20880.4,19488,33824,"wave_compute_4(WaveInputParams*, WaveModelParams*, WaveOutputParams*)"
0.8,21555247,1100,19595.7,18527,30880,"wave_compute_100(WaveInputParams*, WaveModelParams*, WaveOutputParams*)"
0.8,21080741,1100,19164.3,18048,30176,"wave_compute_101(WaveInputParams*, WaveModelParams*, WaveOutputParams*)"
0.8,20870776,1100,18973.4,17920,32672,"wave_compute_8(WaveInputParams*, WaveModelParams*, WaveOutputParams*)"
0.8,20473758,1100,18612.5,17600,30368,"wave_compute_29(WaveInputParams*, WaveModelParams*, WaveOutputParams*)"
0.8,20462360,1100,18602.1,17248,30336,"wave_compute_89(WaveInputParams*, WaveModelParams*, WaveOutputParams*)"
0.8,20458028,1100,18598.2,17536,30048,"wave_compute_92(WaveInputParams*, WaveModelParams*, WaveOutputParams*)"
0.8,20349568,1100,18499.6,17408,30144,"wave_compute_69(WaveInputParams*, WaveModelParams*, WaveOutputParams*)"
0.8,20339307,1100,18490.3,17344,29984,"wave_compute_68(WaveInputParams*, WaveModelParams*, WaveOutputParams*)"
0.8,20334691,1100,18486.1,17504,31648,"wave_compute_9(WaveInputParams*, WaveModelParams*, WaveOutputParams*)"
0.8,20331183,1100,18482.9,17536,29888,"wave_compute_97(WaveInputParams*, WaveModelParams*, WaveOutputParams*)"
0.8,20313110,1100,18466.5,17312,29952,"wave_compute_90(WaveInputParams*, WaveModelParams*, WaveOutputParams*)"
0.8,20310530,1100,18464.1,17376,29824,"wave_compute_75(WaveInputParams*, WaveModelParams*, WaveOutputParams*)"
0.8,20259511,1100,18417.7,17376,30208,"wave_compute_84(WaveInputParams*, WaveModelParams*, WaveOutputParams*)"
0.8,20255126,1100,18413.8,17152,29984,"wave_compute_85(WaveInputParams*, WaveModelParams*, WaveOutputParams*)"
0.8,20225320,1100,18386.7,17440,29665,"wave_compute_33(WaveInputParams*, WaveModelParams*, WaveOutputParams*)"
0.8,20215743,1100,18377.9,17185,29952,"wave_compute_91(WaveInputParams*, WaveModelParams*, WaveOutputParams*)"
0.7,20188591,1100,18353.3,17248,29664,"wave_compute_18(WaveInputParams*, WaveModelParams*, WaveOutputParams*)"
0.7,20180181,1100,18345.6,17312,29824,"wave_compute_13(WaveInputParams*, WaveModelParams*, WaveOutputParams*)"
0.7,20174448,1100,18340.4,17280,29824,"wave_compute_41(WaveInputParams*, WaveModelParams*, WaveOutputParams*)"
0.7,20170747,1100,18337.0,17280,29792,"wave_compute_65(WaveInputParams*, WaveModelParams*, WaveOutputParams*)"
0.7,20166963,1100,18333.6,17152,29664,"wave_compute_93(WaveInputParams*, WaveModelParams*, WaveOutputParams*)"
0.7,20138180,1100,18307.4,17280,29792,"wave_compute_37(WaveInputParams*, WaveModelParams*, WaveOutputParams*)"
0.7,20132269,1100,18302.1,17408,29760,"wave_compute_58(WaveInputParams*, WaveModelParams*, WaveOutputParams*)"
0.7,20128032,1100,18298.2,17248,29760,"wave_compute_19(WaveInputParams*, WaveModelParams*, WaveOutputParams*)"
0.7,20122555,1100,18293.2,17216,29536,"wave_compute_94(WaveInputParams*, WaveModelParams*, WaveOutputParams*)"
0.7,20119095,1100,18290.1,17280,29824,"wave_compute_81(WaveInputParams*, WaveModelParams*, WaveOutputParams*)"
0.7,20114436,1100,18285.9,17248,29921,"wave_compute_71(WaveInputParams*, WaveModelParams*, WaveOutputParams*)"
0.7,20106575,1100,18278.7,17280,29696,"wave_compute_82(WaveInputParams*, WaveModelParams*, WaveOutputParams*)"
0.7,20105037,1100,18277.3,17216,29632,"wave_compute_56(WaveInputParams*, WaveModelParams*, WaveOutputParams*)"
0.7,20098318,1100,18271.2,17280,29568,"wave_compute_40(WaveInputParams*, WaveModelParams*, WaveOutputParams*)"
0.7,20084745,1100,18258.9,17216,29824,"wave_compute_44(WaveInputParams*, WaveModelParams*, WaveOutputParams*)"
0.7,20070635,1100,18246.0,17281,29536,"wave_compute_96(WaveInputParams*, WaveModelParams*, WaveOutputParams*)"
0.7,20064844,1100,18240.8,17120,29505,"wave_compute_73(WaveInputParams*, WaveModelParams*, WaveOutputParams*)"
0.7,20063798,1100,18239.8,17248,29472,"wave_compute_31(WaveInputParams*, WaveModelParams*, WaveOutputParams*)"
0.7,20058283,1100,18234.8,17184,29216,"wave_compute_25(WaveInputParams*, WaveModelParams*, WaveOutputParams*)"
0.7,20050708,1100,18227.9,17088,29472,"wave_compute_80(WaveInputParams*, WaveModelParams*, WaveOutputParams*)"
0.7,20044989,1100,18222.7,17184,29568,"wave_compute_55(WaveInputParams*, WaveModelParams*, WaveOutputParams*)"
0.7,20037987,1100,18216.4,17216,29569,"wave_compute_26(WaveInputParams*, WaveModelParams*, WaveOutputParams*)"
0.7,20029206,1100,18208.4,16897,32736,"wave_compute_5(WaveInputParams*, WaveModelParams*, WaveOutputParams*)"
0.7,20020038,1100,18200.0,17152,29856,"wave_compute_17(WaveInputParams*, WaveModelParams*, WaveOutputParams*)"
0.7,20014957,1100,18195.4,17280,29504,"wave_compute_27(WaveInputParams*, WaveModelParams*, WaveOutputParams*)"
0.7,20010185,1100,18191.1,17216,29344,"wave_compute_60(WaveInputParams*, WaveModelParams*, WaveOutputParams*)"
0.7,20005253,1100,18186.6,17152,29632,"wave_compute_16(WaveInputParams*, WaveModelParams*, WaveOutputParams*)"
0.7,20001777,1100,18183.4,17183,29248,"wave_compute_72(WaveInputParams*, WaveModelParams*, WaveOutputParams*)"
0.7,19987785,1100,18170.7,17183,29760,"wave_compute_42(WaveInputParams*, WaveModelParams*, WaveOutputParams*)"
0.7,19980369,1100,18164.0,17120,29312,"wave_compute_48(WaveInputParams*, WaveModelParams*, WaveOutputParams*)"
0.7,19978412,1100,18162.2,17024,29600,"wave_compute_61(WaveInputParams*, WaveModelParams*, WaveOutputParams*)"
0.7,19976966,1100,18160.9,17120,29729,"wave_compute_59(WaveInputParams*, WaveModelParams*, WaveOutputParams*)"
0.7,19972367,1100,18156.7,17216,29696,"wave_compute_62(WaveInputParams*, WaveModelParams*, WaveOutputParams*)"
0.7,19971375,1100,18155.8,17057,29344,"wave_compute_35(WaveInputParams*, WaveModelParams*, WaveOutputParams*)"
0.7,19939546,1100,18126.9,17025,29632,"wave_compute_30(WaveInputParams*, WaveModelParams*, WaveOutputParams*)"
0.7,19938638,1100,18126.0,17216,29216,"wave_compute_39(WaveInputParams*, WaveModelParams*, WaveOutputParams*)"
0.7,19936281,1100,18123.9,17024,29344,"wave_compute_88(WaveInputParams*, WaveModelParams*, WaveOutputParams*)"
0.7,19932248,1100,18120.2,17057,29248,"wave_compute_15(WaveInputParams*, WaveModelParams*, WaveOutputParams*)"
0.7,19926737,1100,18115.2,16928,29568,"wave_compute_64(WaveInputParams*, WaveModelParams*, WaveOutputParams*)"
0.7,19923696,1100,18112.5,17152,29376,"wave_compute_45(WaveInputParams*, WaveModelParams*, WaveOutputParams*)"
0.7,19918989,1100,18108.2,17152,29472,"wave_compute_36(WaveInputParams*, WaveModelParams*, WaveOutputParams*)"
0.7,19910892,1100,18100.8,17184,29312,"wave_compute_79(WaveInputParams*, WaveModelParams*, WaveOutputParams*)"
0.7,19909920,1100,18099.9,17120,29440,"wave_compute_24(WaveInputParams*, WaveModelParams*, WaveOutputParams*)"
0.7,19907262,1100,18097.5,17183,29152,"wave_compute_22(WaveInputParams*, WaveModelParams*, WaveOutputParams*)"
0.7,19903514,1100,18094.1,17024,29248,"wave_compute_14(WaveInputParams*, WaveModelParams*, WaveOutputParams*)"
0.7,19894100,1100,18085.5,17088,29280,"wave_compute_21(WaveInputParams*, WaveModelParams*, WaveOutputParams*)"
0.7,19887352,1100,18079.4,17056,29760,"wave_compute_50(WaveInputParams*, WaveModelParams*, WaveOutputParams*)"
0.7,19887230,1100,18079.3,17088,29408,"wave_compute_78(WaveInputParams*, WaveModelParams*, WaveOutputParams*)"
0.7,19878620,1100,18071.5,16992,29280,"wave_compute_67(WaveInputParams*, WaveModelParams*, WaveOutputParams*)"
0.7,19866707,1100,18060.6,17088,29312,"wave_compute_11(WaveInputParams*, WaveModelParams*, WaveOutputParams*)"
0.7,19858491,1100,18053.2,16929,29728,"wave_compute_38(WaveInputParams*, WaveModelParams*, WaveOutputParams*)"
0.7,19851469,1100,18046.8,16897,29280,"wave_compute_47(WaveInputParams*, WaveModelParams*, WaveOutputParams*)"
0.7,19842078,1100,18038.3,16992,29121,"wave_compute_70(WaveInputParams*, WaveModelParams*, WaveOutputParams*)"
0.7,19832494,1100,18029.5,16832,29568,"wave_compute_28(WaveInputParams*, WaveModelParams*, WaveOutputParams*)"
0.7,19831744,1100,18028.9,16832,29472,"wave_compute_53(WaveInputParams*, WaveModelParams*, WaveOutputParams*)"
0.7,19825813,1100,18023.5,16864,29760,"wave_compute_34(WaveInputParams*, WaveModelParams*, WaveOutputParams*)"
0.7,19795761,1100,17996.1,16832,29280,"wave_compute_43(WaveInputParams*, WaveModelParams*, WaveOutputParams*)"
0.7,19788307,1100,17989.4,16833,28449,"wave_compute_102(WaveInputParams*, WaveModelParams*, WaveOutputParams*)"
0.7,19778974,1100,17980.9,16864,29312,"wave_compute_95(WaveInputParams*, WaveModelParams*, WaveOutputParams*)"
0.7,19774716,1100,17977.0,16768,29153,"wave_compute_86(WaveInputParams*, WaveModelParams*, WaveOutputParams*)"
0.7,19760513,1100,17964.1,16864,29312,"wave_compute_10(WaveInputParams*, WaveModelParams*, WaveOutputParams*)"
0.7,19754355,1100,17958.5,16896,29473,"wave_compute_51(WaveInputParams*, WaveModelParams*, WaveOutputParams*)"
0.7,19722901,1100,17929.9,16800,29472,"wave_compute_12(WaveInputParams*, WaveModelParams*, WaveOutputParams*)"
0.7,19694452,1100,17904.0,16864,29120,"wave_compute_63(WaveInputParams*, WaveModelParams*, WaveOutputParams*)"
0.7,19668173,1100,17880.2,16800,29408,"wave_compute_66(WaveInputParams*, WaveModelParams*, WaveOutputParams*)"
0.7,19660785,1100,17873.4,16736,29024,"wave_compute_54(WaveInputParams*, WaveModelParams*, WaveOutputParams*)"
0.7,19657749,1100,17870.7,16864,28961,"wave_compute_98(WaveInputParams*, WaveModelParams*, WaveOutputParams*)"
0.7,19657243,1100,17870.2,16832,29024,"wave_compute_20(WaveInputParams*, WaveModelParams*, WaveOutputParams*)"
0.7,19645652,1100,17859.7,16833,29248,"wave_compute_49(WaveInputParams*, WaveModelParams*, WaveOutputParams*)"
